Sc1,Sc2,Sc3,Sc4,Sc5,Sc6,Sa1,Sa2,Sa3,Sa4,Sa5,Sa6
12.015,21.605,141.191,54.114,3.19,0,0,0,145.065,194.919,31.458,16.269
12.015,21.605,141.191,54.114,3.19,0,0,0,135.15,203.702,29.002,17.288
0,11.19,315.813,175.772,0,0,0,0,145.065,194.919,31.458,16.269
0,11.19,315.813,175.772,0,0,0,0,135.15,203.702,29.002,17.288
0,11.19,315.813,175.772,0,0,0,0,0,0,40.456,12.354
